updateMode,recordType,updateIdentifier,recordIdentifier
Replace,File,Dublin Core:Title,1873-05-25p13
Replace,File,Dublin Core:Title,1872-07-20p01
Replace,File,Dublin Core:Title,1873-05-25p08
Replace,File,Dublin Core:Title,1872-07-10p01
Replace,File,Dublin Core:Title,1872-09-30p02
Replace,File,Dublin Core:Title,Back Cover
Replace,File,Dublin Core:Title,1873-05-25p10
Replace,File,Dublin Core:Title,1873-05-25p01
Replace,File,Dublin Core:Title,1872-07-31firstletterp01
Replace,File,Dublin Core:Title,1872-07-28p02
Replace,File,Dublin Core:Title,1872-07-26firstletterp01
Replace,File,Dublin Core:Title,1873-05-25p07
Replace,File,Dublin Core:Title,1873-05-25p05
Replace,File,Dublin Core:Title,1872-07-28p03
Replace,File,Dublin Core:Title,1873-05-25p03
Replace,File,Dublin Core:Title,1873-12-02p02
Replace,File,Dublin Core:Title,1873-05-25p09
Replace,File,Dublin Core:Title,1873-05-25p06
Replace,File,Dublin Core:Title,1872-07-09p01
Replace,File,Dublin Core:Title,Cover
Replace,File,Dublin Core:Title,1872-07-26secondletterp03
Replace,File,Dublin Core:Title,1873-05-25p15
Replace,File,Dublin Core:Title,1873-12-02p01
Replace,File,Dublin Core:Title,1873-05-25p04
Replace,File,Dublin Core:Title,1873-05-25p14
Replace,File,Dublin Core:Title,1872-07-09p02
Replace,File,Dublin Core:Title,1872-07-31secondletterp01
Replace,File,Dublin Core:Title,1873-05-25p12
Replace,File,Dublin Core:Title,1873-05-25p02
Replace,File,Dublin Core:Title,1872-07-26secondletterp01
Replace,File,Dublin Core:Title,1873-05-25p11
Replace,File,Dublin Core:Title,1872-09-30p03
Replace,File,Dublin Core:Title,1872-07-28p01
Replace,File,Dublin Core:Title,1872-07-20p03
Replace,File,Dublin Core:Title,1872-07-20p02
Replace,File,Dublin Core:Title,1872-07-26secondletterp02
Replace,File,Dublin Core:Title,1872-09-30p01
Replace,File,Dublin Core:Title,1872-07-27p01
