Dublin Core:Identifier,Dublin Core:Type,Dublin Core:Title,Dublin Core:Description,Dublin Core:Date,Dublin Core:Temporal Coverage,Dublin Core:Extent,Dublin Core:Relation,Scripto:Status,tags,recordType,collection,file
umd:3393;http://hdl.handle.net/1903.1/1775,Letters,"Letter by Joseph Raynes, in Baltimore, to his Family, 1 September 1834","Letter written by Joseph Raynes from Baltimore, Maryland, to his family in Bonsall, Derbyshire, England, 1 September 1834. Describes life in Baltimore and the failure of the Bank of Maryland.",1834-09-1,1801-1900,4 pages,Historical Manuscripts,To transcribe,Bank of Maryland;Banks;City & town life;Correspondence;Economic & social conditions;Immigrants,Item,Joseph Raynes papers,http://fedora.lib.umd.edu/fedora/get/umd:3395/image;http://fedora.lib.umd.edu/fedora/get/umd:3396/image;http://fedora.lib.umd.edu/fedora/get/umd:3397/image;http://fedora.lib.umd.edu/fedora/get/umd:3394/image
umd:3398;http://hdl.handle.net/1903.1/1776,Letters,"Letter by Joseph Raynes, in Liverpool, to his Family, 10 May 1831","Letter written by Joseph Raynes from Liverpool to his family in Bonsall, Derbyshire, England 10 May 1831. Describes the brig ""Russian,"" on which he has reserved a space to travel to Baltimore, Maryland.",1831-05-10,1801-1900,4 pages,Historical Manuscripts,To transcribe,Correspondence;Immigrants;Ocean travel;Ships,Item,Joseph Raynes papers,http://fedora.lib.umd.edu/fedora/get/umd:3400/image;http://fedora.lib.umd.edu/fedora/get/umd:3401/image;http://fedora.lib.umd.edu/fedora/get/umd:3402/image;http://fedora.lib.umd.edu/fedora/get/umd:3399/image
umd:3403;http://hdl.handle.net/1903.1/1777,Letters,"Letter Written by Joseph Raynes, in Baltimore, to his Family, 6 July 1831","Letter written by Joseph Raynes from Baltimore, Maryland, to his family in Bonsall, Derbyshire, England 6 July 1831. Describes voyage from Liverpool to Baltimore via the brig ""Russian,"" and his arrival in Baltimore, including monuments, landmarks, and descriptions of the city.",1831-07-6,1801-1900,4 pages,Historical Manuscripts,To transcribe,City & town life;Correspondence;Immigrants;Ocean travel;Ships,Item,Joseph Raynes papers,http://fedora.lib.umd.edu/fedora/get/umd:3405/image;http://fedora.lib.umd.edu/fedora/get/umd:3406/image;http://fedora.lib.umd.edu/fedora/get/umd:3407/image;http://fedora.lib.umd.edu/fedora/get/umd:3404/image
umd:3408;http://hdl.handle.net/1903.1/1778,Letters,"Letter Written by Joseph Raynes, in Baltimore, to his Family, 4 February 1832","Letter written by Joseph Raynes from Baltimore, Maryland, to his family in Bonsall, Derbyshire, England., 4 February 1832. Describes beginning work in Baltimore.",1832-02-4,1801-1900,4 pages,Historical Manuscripts,To transcribe,City & town life;Correspondence;Economic & social conditions;Immigrants,Item,Joseph Raynes papers,http://fedora.lib.umd.edu/fedora/get/umd:3410/image;http://fedora.lib.umd.edu/fedora/get/umd:3411/image;http://fedora.lib.umd.edu/fedora/get/umd:3412/image;http://fedora.lib.umd.edu/fedora/get/umd:3409/image
umd:3417;http://hdl.handle.net/1903.1/1781,Letters,"Letter Written by Joseph Raynes, in Baltimore, to his Family, 4 March 1835","Letter written by Joseph Raynes from Baltimore, Maryland, to his family in Bonsall, Derbyshire, England 4 March 1835. Describes life in Baltimore.",1835-03-4,1901-2000,4 pages,Historical Manuscripts,To transcribe,City & town life;Correspondence;Economic & social conditions;Immigrants,Item,Joseph Raynes papers,http://fedora.lib.umd.edu/fedora/get/umd:3419/image;http://fedora.lib.umd.edu/fedora/get/umd:3420/image;http://fedora.lib.umd.edu/fedora/get/umd:3421/image;http://fedora.lib.umd.edu/fedora/get/umd:3418/image
umd:3422;http://hdl.handle.net/1903.1/1782,Letters,"Letter Written by Joseph Raynes, in Baltimore, to his Family, 14 May 1835","Letter written by Joseph Raynes from Baltimore, Maryland, to his family in Bonsall, Derbyshire, England 14 May 1835. Describes life in Baltimore.",1835-05-14,1801-1900,4 pages,Historical Manuscripts,To transcribe,City & town life;Correspondence;Economic & social conditions;Immigrants,Item,Joseph Raynes papers,http://fedora.lib.umd.edu/fedora/get/umd:3424/image;http://fedora.lib.umd.edu/fedora/get/umd:3425/image;http://fedora.lib.umd.edu/fedora/get/umd:3426/image;http://fedora.lib.umd.edu/fedora/get/umd:3423/image
umd:3463;http://hdl.handle.net/1903.1/1801,Letters,"Letter Written by Joseph Raynes, in Cinncinati, to his Family, 14 September 1840","Letter written by Joseph Raynes from Cincinnati, Ohio, to his family in Bonsall, Derbyshire, England, 14 September 1840. Describes life in Cincinnati and his experiences with his Methodist church and the annual camp meeting he attended.",1840-09-14,1801-1900,4 pages,Historical Manuscripts,To transcribe,City & town life;Correspondence;Economic & social conditions;Immigrants,Item,Joseph Raynes papers,http://fedora.lib.umd.edu/fedora/get/umd:3465/image;http://fedora.lib.umd.edu/fedora/get/umd:3466/image;http://fedora.lib.umd.edu/fedora/get/umd:3467/image;http://fedora.lib.umd.edu/fedora/get/umd:3464/image
umd:3468;http://hdl.handle.net/1903.1/1802,Letters,"Letter Written by Joseph Raynes, in Baltimore, to his Family, 24 March 1836","Letter written by Joseph Raynes from Baltimore, Maryland, to his family in Bonsall, Derbyshire, England 24 March 1836. Describes life in Baltimore.",1836-03-24,1801-1900,4 pages,Historical Manuscripts,To transcribe,City & town life;Correspondence;Economic & social conditions;Immigrants,Item,Joseph Raynes papers,http://fedora.lib.umd.edu/fedora/get/umd:3470/image;http://fedora.lib.umd.edu/fedora/get/umd:3471/image;http://fedora.lib.umd.edu/fedora/get/umd:3472/image;http://fedora.lib.umd.edu/fedora/get/umd:3469/image
umd:3473;http://hdl.handle.net/1903.1/1803,Letters,"Letter Written by Joseph Raynes, in Cincinnati, to his Family, 24 July 1843","Letter written by Joseph Raynes from Cincinnati, Ohio, to his family in Bonsall, Derbyshire, England, 24 July 1843. Describes life in Cincinnati.",1843-07-24,1801-1900,3 pages,Historical Manuscripts,To transcribe,City & town life;Correspondence;Economic & social conditions;Immigrants,Item,Joseph Raynes papers,http://fedora.lib.umd.edu/fedora/get/umd:3475/image;http://fedora.lib.umd.edu/fedora/get/umd:3476/image;http://fedora.lib.umd.edu/fedora/get/umd:3474/image
umd:3477;http://hdl.handle.net/1903.1/1804,Letters,"Letter from Jayne Cliff to Harriet Raynes on the Death of Joseph Raynes, 14 July 1849","Letter written by Jayne Cliff to her cousin, Harriet Raynes, on the death of Harriet's brother, Joseph Raynes, 14 July 1849.",1849-07-14,1801-1900,3 pages,Historical Manuscripts,To transcribe,Correspondence;Immigrants,Item,Joseph Raynes papers,http://fedora.lib.umd.edu/fedora/get/umd:3479/image;http://fedora.lib.umd.edu/fedora/get/umd:3480/image;http://fedora.lib.umd.edu/fedora/get/umd:3478/image
