pid,title,summary,dates,repository,collection
"umd:2256
",Sterling Family Papers,"62 letters, primarily written by a Civil War Union officer's wife, Tillie Farquhar Sterling, with additional letters written by Tillie's husband, Will Sterling, and Tillie's mother, Anna Virginia (""A. V."") Farquhar. They detail daily life in wartime Maryland.",2001-2100;2004,Digital Collections and Research,
"umd:3393
","Letter by Joseph Raynes, in Baltimore, to his Family, 1 September 1834","Letter written by Joseph Raynes from Baltimore, Maryland, to his family in Bonsall, Derbyshire, England, 1 September 1834. Describes life in Baltimore and the failure of the Bank of Maryland.",1801-1900;1834-09-1,Historical Manuscripts,Joseph Raynes papers
"umd:3398
","Letter by Joseph Raynes, in Liverpool, to his Family, 10 May 1831","Letter written by Joseph Raynes from Liverpool to his family in Bonsall, Derbyshire, England 10 May 1831. Describes the brig ""Russian,"" on which he has reserved a space to travel to Baltimore, Maryland.",1801-1900;1831-05-10,Historical Manuscripts,Joseph Raynes papers
"umd:3403
","Letter Written by Joseph Raynes, in Baltimore, to his Family, 6 July 1831","Letter written by Joseph Raynes from Baltimore, Maryland, to his family in Bonsall, Derbyshire, England 6 July 1831. Describes voyage from Liverpool to Baltimore via the brig ""Russian,"" and his arrival in Baltimore, including monuments, landmarks, and descriptions of the city.",1801-1900;1831-07-6,Historical Manuscripts,Joseph Raynes papers
"umd:3408
","Letter Written by Joseph Raynes, in Baltimore, to his Family, 4 February 1832","Letter written by Joseph Raynes from Baltimore, Maryland, to his family in Bonsall, Derbyshire, England., 4 February 1832. Describes beginning work in Baltimore.",1801-1900;1832-02-4,Historical Manuscripts,Joseph Raynes papers
"umd:3417
","Letter Written by Joseph Raynes, in Baltimore, to his Family, 4 March 1835","Letter written by Joseph Raynes from Baltimore, Maryland, to his family in Bonsall, Derbyshire, England 4 March 1835. Describes life in Baltimore.",1901-2000;1835-03-4,Historical Manuscripts,Joseph Raynes papers
"umd:3422
","Letter Written by Joseph Raynes, in Baltimore, to his Family, 14 May 1835","Letter written by Joseph Raynes from Baltimore, Maryland, to his family in Bonsall, Derbyshire, England 14 May 1835. Describes life in Baltimore.",1801-1900;1835-05-14,Historical Manuscripts,Joseph Raynes papers
"umd:3463
","Letter Written by Joseph Raynes, in Cinncinati, to his Family, 14 September 1840","Letter written by Joseph Raynes from Cincinnati, Ohio, to his family in Bonsall, Derbyshire, England, 14 September 1840. Describes life in Cincinnati and his experiences with his Methodist church and the annual camp meeting he attended.",1801-1900;1840-09-14,Historical Manuscripts,Joseph Raynes papers
"umd:3468
","Letter Written by Joseph Raynes, in Baltimore, to his Family, 24 March 1836","Letter written by Joseph Raynes from Baltimore, Maryland, to his family in Bonsall, Derbyshire, England 24 March 1836. Describes life in Baltimore.",1801-1900;1836-03-24,Historical Manuscripts,Joseph Raynes papers
"umd:3473
","Letter Written by Joseph Raynes, in Cincinnati, to his Family, 24 July 1843","Letter written by Joseph Raynes from Cincinnati, Ohio, to his family in Bonsall, Derbyshire, England, 24 July 1843. Describes life in Cincinnati.",1801-1900;1843-07-24,Historical Manuscripts,Joseph Raynes papers
"umd:3477
","Letter from Jayne Cliff to Harriet Raynes on the Death of Joseph Raynes, 14 July 1849","Letter written by Jayne Cliff to her cousin, Harriet Raynes, on the death of Harriet's brother, Joseph Raynes, 14 July 1849.",1801-1900;1849-07-14,Historical Manuscripts,Joseph Raynes papers
"umd:4073
","Photograph of Matilda ""Tillie"" Louise Sterling, circa 1875","Photograph of Matilda ""Tillie"" Louise Sterling. ""Original"" is a color photocopy. Photograph taken in Plainfield, New Jersey, circa 1875.",1801-1900;1875,Historical Manuscripts,Sterling Family papers
"umd:4075
","Photograph of William H. Sterling, circa 1875","Photograph of William H. Sterling. ""Original"" is a color photocopy. Circa 1875.",1801-1900;1875,Historical Manuscripts,Sterling Family papers
