mediatype,collection,pid,repository,dates,summary,title
Letters,Joseph Raynes papers,umd:3393,Historical Manuscripts,1801-1900;1834-09-1,"Letter written by Joseph Raynes from Baltimore, Maryland, to his family in Bonsall, Derbyshire, England, 1 September 1834. Describes life in Baltimore and the failure of the Bank of Maryland.","Letter by Joseph Raynes, in Baltimore, to his Family, 1 September 1834"
Letters,Joseph Raynes papers,umd:3398,Historical Manuscripts,1801-1900;1831-05-10,"Letter written by Joseph Raynes from Liverpool to his family in Bonsall, Derbyshire, England 10 May 1831. Describes the brig ""Russian,"" on which he has reserved a space to travel to Baltimore, Maryland.","Letter by Joseph Raynes, in Liverpool, to his Family, 10 May 1831"
Letters,Joseph Raynes papers,umd:3403,Historical Manuscripts,1801-1900;1831-07-6,"Letter written by Joseph Raynes from Baltimore, Maryland, to his family in Bonsall, Derbyshire, England 6 July 1831. Describes voyage from Liverpool to Baltimore via the brig ""Russian,"" and his arrival in Baltimore, including monuments, landmarks, and descriptions of the city.","Letter Written by Joseph Raynes, in Baltimore, to his Family, 6 July 1831"
Letters,Joseph Raynes papers,umd:3408,Historical Manuscripts,1801-1900;1832-02-4,"Letter written by Joseph Raynes from Baltimore, Maryland, to his family in Bonsall, Derbyshire, England., 4 February 1832. Describes beginning work in Baltimore.","Letter Written by Joseph Raynes, in Baltimore, to his Family, 4 February 1832"
Letters,Joseph Raynes papers,umd:3417,Historical Manuscripts,1901-2000;1835-03-4,"Letter written by Joseph Raynes from Baltimore, Maryland, to his family in Bonsall, Derbyshire, England 4 March 1835. Describes life in Baltimore.","Letter Written by Joseph Raynes, in Baltimore, to his Family, 4 March 1835"
Letters,Joseph Raynes papers,umd:3422,Historical Manuscripts,1801-1900;1835-05-14,"Letter written by Joseph Raynes from Baltimore, Maryland, to his family in Bonsall, Derbyshire, England 14 May 1835. Describes life in Baltimore.","Letter Written by Joseph Raynes, in Baltimore, to his Family, 14 May 1835"
Letters,Joseph Raynes papers,umd:3463,Historical Manuscripts,1801-1900;1840-09-14,"Letter written by Joseph Raynes from Cincinnati, Ohio, to his family in Bonsall, Derbyshire, England, 14 September 1840. Describes life in Cincinnati and his experiences with his Methodist church and the annual camp meeting he attended.","Letter Written by Joseph Raynes, in Cinncinati, to his Family, 14 September 1840"
Letters,Joseph Raynes papers,umd:3468,Historical Manuscripts,1801-1900;1836-03-24,"Letter written by Joseph Raynes from Baltimore, Maryland, to his family in Bonsall, Derbyshire, England 24 March 1836. Describes life in Baltimore.","Letter Written by Joseph Raynes, in Baltimore, to his Family, 24 March 1836"
Letters,Joseph Raynes papers,umd:3473,Historical Manuscripts,1801-1900;1843-07-24,"Letter written by Joseph Raynes from Cincinnati, Ohio, to his family in Bonsall, Derbyshire, England, 24 July 1843. Describes life in Cincinnati.","Letter Written by Joseph Raynes, in Cincinnati, to his Family, 24 July 1843"
Letters,Joseph Raynes papers,umd:3477,Historical Manuscripts,1801-1900;1849-07-14,"Letter written by Jayne Cliff to her cousin, Harriet Raynes, on the death of Harriet's brother, Joseph Raynes, 14 July 1849.","Letter from Jayne Cliff to Harriet Raynes on the Death of Joseph Raynes, 14 July 1849"
"Photograph, documentary",Sterling Family papers,umd:4073,Historical Manuscripts,1801-1900;1875,"Photograph of Matilda ""Tillie"" Louise Sterling. ""Original"" is a color photocopy. Photograph taken in Plainfield, New Jersey, circa 1875.","Photograph of Matilda ""Tillie"" Louise Sterling, circa 1875"
"Photograph, documentary",Sterling Family papers,umd:4075,Historical Manuscripts,1801-1900;1875,"Photograph of William H. Sterling. ""Original"" is a color photocopy. Circa 1875.","Photograph of William H. Sterling, circa 1875"
"Photograph, documentary",Sterling Family papers,umd:4077,Historical Manuscripts,1801-1900;1890,"Photograph of Matilda ""Tillie"" Louise Sterling. ""Original"" is a color photocopy, original photograph dates to circa 1890.","Photograph of Matilda Louise Sterling, circa 1890"
"Photograph, documentary",Sterling Family papers,umd:4079,Historical Manuscripts,1801-1900;1865,"Photograph of Anna Virginia Farquhar. ""Original"" is a color photocopy, original photograph dates to circa 1865.","Photograph of Anna Virginia Farquhar, circa 1865"
Letters,Felix Agnus papers,umd:4429,Historical Manuscripts,1801-1900;1866-03-23,"Letter from Alexander Perry to Major Felix Agnus stating that Agnus's returns for clothing and camp equipment have been submitted to an auditor in the Department of the Treasury, ""for final settlement,"" 23 March 1866.","Letter from Alexander Perry to Major Felix Agnus, 23 March 1866"
Letters,Felix Agnus papers,umd:4434,Historical Manuscripts,1801-1900;1866-05-8,"Form V., Treasury Department, Second Auditor's Office, suspending Major Felix Agnus, 8 May 1866.","Form V., Treasury Department, Second Auditor's Office, suspending Major Felix Agnus, 8 May 1866"
Letters,Felix Agnus papers,umd:4438,Historical Manuscripts,1801-1900;1866-12-8,"Letter from Alex. Perry to Capt. Felix Agnus stating that Agnus's returns for clothing and camp equipment have been submitted to an auditor, 8 December 1866.","Letter from Alexander Perry to Captain Felix Agnus, 8 December 1866"
Letters,Felix Agnus papers,umd:4457,Historical Manuscripts,1901-2000;1865-07-26,"Claim of Major Felix Agnus for back pay, 26 July 1865.","Major Felix Agnus' claim for back pay, 26 July 1865"
Letters,Felix Agnus papers,umd:4498,Historical Manuscripts,1801-1900;1861-08-6,"Certificate discharging Lewis P. Lynch from service in the United States Army, 6 August 1861.","Discharge papers of Lewis P. Lynch, 6 August 1861"
Letters,Felix Agnus papers,umd:4539,Historical Manuscripts,1801-1900;1862-09-15,"Description of Felix Agnus, including place of birth, physical appearance, and occupation, 15 September 1862.","Descriptive List of Felix Agnus, 15 September 1862"
Letters,Felix Agnus papers,umd:4543,Historical Manuscripts,1801-1900;1862-07-22,"Notice drafted by Assessors of the United States Military to Curtis Ogden, Jr. informing him that he has been enrolled as liable to Military duty, 22 July 1862.","Notice of military liability to Curtis Ogden, Jr., 22 July 1862"
Letters,Felix Agnus papers,umd:4547,Historical Manuscripts,1801-1900;1863,"Receipt Roll indicating supplies furnished to first and second divisions of the ninth Company, 1863.","Receipt for military stores, 1863"
Letters,Felix Agnus papers,umd:4553,Historical Manuscripts,1801-1900;1863-08-22,"Letter sent to the Commanding Officer of the 165th New York regiment from the Ordnance Office in the War Department, requesting an accurate account of materials, 22 August 1863.","Ordinance No. 13, a letter Requesting an Accounting of Regimental Statistics from 165th Regiment, 22 August 1863"
Letters,Felix Agnus papers,umd:4558,Historical Manuscripts,1801-1900;1863-08-29,"List of Ordnance received at Baton Rouge, Louisiana, from Major Felix Agnus by Lieutenant Walker of the 165th New York Regiment, 29 August 1863.","Form No. 7, List of Ordnance Received from Major Felix Agnus by Lieutenant Warker at Baton Rouge, Louisiana, 29 August 1863"
Letters,Felix Agnus papers,umd:4569,Historical Manuscripts,1801-1900;1863-08-29,"List of Ordnance received at Baton Rouge, Louisiana, by Lieutenant Linguiste from Major Felix Agnus of the 165th New York Regiment, 29 August 1863.","List of Ordnance received at Baton Rouge, Louisiana, from Major Felix Agnus by Lieutenant Linguiste, 29 August 1863"
Letters,Felix Agnus papers,umd:4572,Historical Manuscripts,1801-1900;1863-08-31,"Invoice of Ordnance turned over by Lieutenant Cowdrey to Major Felix Agnus, Commanding, 165th New York Regiment, 31 August 1863.","Invoice of Ordnance Given to Major Felix Agnus by Lieutenant Cowdrey, 31 August 1863"
Letters,Felix Agnus papers,umd:4577,Historical Manuscripts,1801-1900;1863-09-10,"General Orders No. 304, concerning transfer to the Invalid Corps, issued by the Secretary of War, E.D. Townsend, 10 September 1863.","General Order No. 34, Concerning the Transfer into Invalid Corps, 10 September 1863"
Letters,Felix Agnus papers,umd:4588,Historical Manuscripts,1801-1900;1864-01-23,"Letter from G. Carr, Lieutenant Colonel, to Brigadier General S. Sprague, concerning Recruitment and Promotion of Men in the 165th New York Regiment (2nd Duryee Zouaves), 23 January 1864.","Letter from G. Carr, Lieutenant Colonel, to Brigadier General S. Sprague, 165th New York Regiment, 23 January 1864"
Letters,Felix Agnus papers,umd:4601,Historical Manuscripts,1801-1900;1864-03-5,"Special Order No. 56, Allowing Major Felix Agnus to visit Albany, New York to conduct business with the Governor of New York, 5 March 1864.","Special Order No. 56, Leave for Major Agnus to Travel to New York, 5 March 1864"
Letters,Felix Agnus papers,umd:4603,Historical Manuscripts,1801-1900;1864-04-28,"Special Order No. 105, appointing Major Felix Agnus to a General Court-Martial, 28 April 1864.","Special Order No. 105, Appointing Major Felix Agnus to a General Court-Martial, 28 April 1864"
Letters,Felix Agnus papers,umd:4607,Historical Manuscripts,1801-1900;1864-05-2,"Special Order No. 108, Ordering Major Felix Agnus and others to convene a Court-Martial on 3 May 1864, and the order is issued on 2 May 1864.","Special Order No. 108, Ordering the Assembly of a Court-Martial in New York, 2 May 1864"
Letters,Felix Agnus papers,umd:4611,Historical Manuscripts,1801-1900;1864-05-2,"Special order No. 108 revoking order No. 5, 2 May 1864.","Special Order No. 108, revoking order No. 105, 2 May 1864"
Letters,Felix Agnus papers,umd:4613,Historical Manuscripts,1801-1900;1864-05-11,"Special Order No. 112, relieving Major Felix Agnus of Court-Martial duty, and ordering him to return to the 165th New York Regiment, 11 May 1864.","Special Order No. 112, Ordering Major Felix Agnus to return to the 165th New York Regiment, 11 May 1864"
Letters,Felix Agnus papers,umd:4618,Historical Manuscripts,1801-1900;1864-05-11,"Special Order No. 112 (Extract), relieving Major Felix Agnus of Court-Martial duty, and ordering him to return to the 165th New York Regiment, 11 May 1864.","Special Order No. 112 (Extract), Ordering Major Felix Agnus to return to the 165th New York Regiment, 11 May 1864"
